direction,speed,time
0.15000000000000002,0.15,2020-03-09 11:29:17.144740
0.15000000000000002,0.13,2020-03-09 11:29:18.580759
0.15000000000000002,0.15,2020-03-09 11:29:18.712765
0.15000000000000002,0.13,2020-03-09 11:29:18.842938
0.15000000000000002,0.15,2020-03-09 11:29:19.082754
0.15000000000000002,0.13,2020-03-09 11:29:19.183227
0.15000000000000002,0.15,2020-03-09 11:29:19.323512
0.15000000000000002,0.13,2020-03-09 11:29:19.403664
0.15000000000000002,0.15,2020-03-09 11:29:19.493112
0.15000000000000002,0.13,2020-03-09 11:29:19.583349
0.15000000000000002,0.15,2020-03-09 11:29:19.703782
0.15000000000000002,0.13,2020-03-09 11:29:32.081870
0.15000000000000002,0.15,2020-03-09 11:29:32.263423
0.15000000000000002,0.13,2020-03-09 11:29:32.673983
0.15000000000000002,0.15,2020-03-09 11:29:32.853798
0.15000000000000002,0.13,2020-03-09 11:29:33.354259
0.15729152560234072,0.13,2020-03-09 11:29:33.555601
0.16539200991392136,0.13,2020-03-09 11:29:33.565954
0.17054745852947234,0.13,2020-03-09 11:29:33.575104
0.17128426283597947,0.13,2020-03-09 11:29:33.589153
0.16981065422296526,0.13,2020-03-09 11:29:33.597936
0.15802832990884783,0.13,2020-03-09 11:29:33.605290
0.15000000000000002,0.13,2020-03-09 11:29:33.616450
0.15000000000000002,0.15,2020-03-09 11:29:33.653618
0.14786392226815226,0.15,2020-03-09 11:29:33.677300
0.14565569013357163,0.15,2020-03-09 11:29:33.685695
0.14344745799899103,0.15,2020-03-09 11:29:33.696367
0.14197385013103486,0.15,2020-03-09 11:29:33.708350
0.1397634379565716,0.15,2020-03-09 11:29:33.717426
0.13902881368994713,0.15,2020-03-09 11:29:33.725257
0.1397634379565716,0.15,2020-03-09 11:29:33.738799
0.14197385013103486,0.15,2020-03-09 11:29:33.774856
0.14491888619959356,0.15,2020-03-09 11:29:33.785137
0.1471292981877923,0.15,2020-03-09 11:29:33.796171
0.14786392226815226,0.15,2020-03-09 11:29:33.807689
0.14860072629526258,0.15,2020-03-09 11:29:33.825194
0.14933753036893904,0.15,2020-03-09 11:29:33.868988
0.14860072629526258,0.15,2020-03-09 11:29:33.877810
0.14933753036893904,0.15,2020-03-09 11:29:33.894949
0.14860072629526258,0.15,2020-03-09 11:29:33.915134
0.14933753036893904,0.15,2020-03-09 11:29:33.925149
0.14860072629526258,0.15,2020-03-09 11:29:33.945193
0.14933753036893904,0.15,2020-03-09 11:29:33.954581
0.14860072629526258,0.15,2020-03-09 11:29:33.965189
0.14933753036893904,0.15,2020-03-09 11:29:33.984444
0.14860072629526258,0.15,2020-03-09 11:29:33.997333
0.14933753036893904,0.15,2020-03-09 11:29:34.165667
0.15000000000000002,0.15,2020-03-09 11:29:34.197331
0.15000000000000002,0.13,2020-03-09 11:29:35.182127
0.15000000000000002,0.15,2020-03-09 11:29:35.264147
0.15000000000000002,0.13,2020-03-09 11:29:52.553184
0.15000000000000002,0.15,2020-03-09 11:29:52.755788
0.14933753036893904,0.15,2020-03-09 11:29:53.067049
0.14786392226815226,0.15,2020-03-09 11:29:53.075474
0.1471292981877923,0.15,2020-03-09 11:29:53.085085
0.14565569013357163,0.15,2020-03-09 11:29:53.098238
0.14344745799899103,0.15,2020-03-09 11:29:53.105241
0.14271065369248392,0.15,2020-03-09 11:29:53.115654
0.14197385013103486,0.15,2020-03-09 11:29:53.129308
0.14271065369248392,0.15,2020-03-09 11:29:53.166050
